HSTNUMSYS,HSTNUM,HSTNAME,AGS,KOMMUNE,ORTSTEIL,WGS84_RW_X_1000000,WGS84_HW_X_1000000,GLOBAL_ID
AVV,1001,"Aachen, Bushof",05334002,Aachen,Aachen,6089768,50776453,de:05334:1001
AVV,1002,"Aachen, Kaiser-Friedrich-Park",05334002,Aachen,Aachen,6075421,50759141,de:05334:1002
AVV,1003,"Aachen, Ehrenmal / Lousberg",05334002,Aachen,Aachen,6083328,50782274,de:05334:1003
AVV,1004,"Aachen, STAWAG",05334002,Aachen,Aachen,6100047,50783114,de:05334:1004
AVV,1005,"Aachen, Misereor",05334002,Aachen,Aachen,6083912,50768538,de:05334:1005
AVV,1006,"Aachen, Ritterstraße",05334002,Aachen,Aachen,6065102,50788353,de:05334:1006
AVV,1007,"Aachen, Hauptbahnhof (Bus)",05334002,Aachen,Aachen,6090632,50768748,de:05334:1007
AVV,1008,"Aachen, Hbf",05334002,Aachen,Aachen,6092047,50767722,de:05334:1008
AVV,1009,"Aachen, Alter Posthof",05334002,Aachen,Aachen,6084670,50772043,de:05334:1009
AVV,1011,"Aachen, Kaiserplatz",05334002,Aachen,Aachen,6095593,50775702,de:05334:1011
AVV,1014,"Aachen, Schanz (Vaalser Straße)",05334002,Aachen,Aachen,6073752,50770738,de:05334:1014
AVV,1015,"Aachen, Schanz (Jakobstraße)",05334002,Aachen,Aachen,6074104,50769102,de:05334:1015
AVV,1016,"Aachen, Schanz Bf",05334002,Aachen,Aachen,6073751,50769857,de:05334:1016
AVV,1017,"Aachen, Theater",05334002,Aachen,Aachen,6088498,50772022,de:05334:1017
AVV,1019,"Aachen, Annastraße (Hans-Stercken-Platz)",05334002,Aachen,Aachen,6080262,50772477,de:05334:1019
AVV,1021,"Aachen, Audimax",05334002,Aachen,Aachen,6075171,50779861,de:05334:1021
AVV,1023,"Aachen, Augustastraße (Suermondt-Ludwig-Museum)",05334002,Aachen,Aachen,6095814,50772699,de:05334:1023
AVV,1025,"Aachen, Bastei",05334002,Aachen,Aachen,6089298,50782674,de:05334:1025
AVV,1026,"Aachen, Karolingerstraße",05334002,Aachen,Aachen,6093277,50787039,de:05334:1026
AVV,1027,"Aachen, Driescher Gässchen (RWTH Aachen)",05334002,Aachen,Aachen,6081805,50779263,de:05334:1027
AVV,1029,"Aachen, Elisenbrunnen",05334002,Aachen,Aachen,6087509,50774162,de:05334:1029
AVV,1031,"Aachen, Eurogress",05334002,Aachen,Aachen,6090698,50780767,de:05334:1031
AVV,1033,"Aachen, Hansemannplatz",05334002,Aachen,Aachen,6094378,50777860,de:05334:1033
AVV,1035,"Aachen, Jakobsplatz",05334002,Aachen,Aachen,6075596,50771042,de:05334:1035
AVV,1037,"Aachen, Markt (Judengasse)",05334002,Aachen,Aachen,6081500,50775389,de:05334:1037
AVV,1039,"Aachen, Karlsgraben",05334002,Aachen,Aachen,6077229,50772785,de:05334:1039
AVV,1041,"Aachen, Königstraße",05334002,Aachen,Aachen,6075674,50775510,de:05334:1041
AVV,1043,"Aachen, Lochnerstraße",05334002,Aachen,Aachen,6072494,50772815,de:05334:1043
AVV,1045,"Aachen, Luisenhospital",05334002,Aachen,Aachen,6077534,50768416,de:05334:1045
AVV,1047,"Aachen, Minoritenstraße",05334002,Aachen,Aachen,6085575,50778469,de:05334:1047
AVV,1049,"Aachen, Normaluhr",05334002,Aachen,Aachen,6095240,50769428,de:05334:1049
AVV,1051,"Aachen, Paulusstraße",05334002,Aachen,Aachen,6078904,50774060,de:05334:1051
AVV,1054,"Aachen, Kármán-Auditorium (RWTH Aachen)",05334002,Aachen,Aachen,6080128,50777224,de:05334:1054
AVV,1055,"Aachen, Ponttor",05334002,Aachen,Aachen,6077839,50781711,de:05334:1055
AVV,1057,"Aachen, Technische Hochschule",05334002,Aachen,Aachen,6077945,50777351,de:05334:1057
AVV,1059,"Aachen, Turmstraße",05334002,Aachen,Aachen,6072299,50775027,de:05334:1059
AVV,1061,"Aachen, Wallstraße",05334002,Aachen,Aachen,6091147,50771013,de:05334:1061
AVV,1063,"Aachen, Willy-Brandt-Platz",05334002,Aachen,Aachen,6091879,50775741,de:05334:1063
AVV,1065,"Aachen, Rolandstraße",05334002,Aachen,Aachen,6096127,50786803,de:05334:1065
AVV,1067,"Aachen, Blücherplatz",05334002,Aachen,Aachen,6100735,50780120,de:05334:1067
AVV,1069,"Aachen, Elsa-Brändström-Straße",05334002,Aachen,Aachen,6090083,50785262,de:05334:1069
AVV,1071,"Aachen, Europaplatz",05334002,Aachen,Aachen,6109580,50779016,de:05334:1071
AVV,1073,"Aachen, Carolus Thermen",05334002,Aachen,Aachen,6097724,50784231,de:05334:1073
AVV,1074,"Aachen, Lombardenstraße",05334002,Aachen,Aachen,6099043,50784508,de:05334:1074
AVV,1075,"Aachen, Ludwig Forum",05334002,Aachen,Aachen,6103162,50781413,de:05334:1075
AVV,1077,"Aachen, Alter Tivoli",05334002,Aachen,Aachen,6096758,50790434,de:05334:1077
AVV,1079,"Aachen, Ungarnplatz (Carolus Thermen)",05334002,Aachen,Aachen,6098059,50781876,de:05334:1079
AVV,1081,"Aachen, Wiesental",05334002,Aachen,Aachen,6105900,50781994,de:05334:1081
AVV,1083,"Aachen, Bendplatz",05334002,Aachen,Aachen,6073973,50784464,de:05334:1083
AVV,1084,"Aachen, Bendplatz (Kühlwetterstraße)",05334002,Aachen,Aachen,6071805,50782528,de:05334:1084
AVV,1085,"Aachen, Westbahnhof (Bus)",05334002,Aachen,Aachen,6072620,50781112,de:05334:1085
AVV,1086,"Aachen, West Bf",05334002,Aachen,Aachen,6070875,50780385,de:05334:1086
AVV,1087,"Aachen, Europadorf",05334002,Aachen,Aachen,6063285,50786988,de:05334:1087
AVV,1088,"Aachen, Bendplatz (Henricistraße)",05334002,Aachen,Aachen,6072417,50783576,de:05334:1088
AVV,1089,"Aachen, Jupp-Müller-Straße",05334002,Aachen,Aachen,6070304,50786822,de:05334:1089
AVV,1091,"Aachen, Laurensberg Kackertstraße",05334002,Aachen,Laurensberg,6061886,50790926,de:05334:1091
AVV,1092,"Aachen, Gewerbegebiet Schlottfeld",05334002,Aachen,Laurensberg,6059248,50790604,de:05334:1092
AVV,1093,"Aachen, Süsterau",05334002,Aachen,Aachen,6061032,50788957,de:05334:1093
AVV,1095,"Aachen, Süsterfeld",05334002,Aachen,Aachen,6067917,50784153,de:05334:1095
AVV,1099,"Aachen, Josefskirche (Justizzentrum)",05334002,Aachen,Aachen,6107315,50774379,de:05334:1099
AVV,1101,"Aachen, Frankenberg",05334002,Aachen,Aachen,6108956,50766926,de:05334:1101
AVV,1103,"Aachen, Goerdelerstraße",05334002,Aachen,Aachen,6112609,50770967,de:05334:1103
AVV,1105,"Aachen, Scheibenstraße",05334002,Aachen,Aachen,6101304,50774502,de:05334:1105
AVV,1107,"Aachen, Schlossstraße",05334002,Aachen,Aachen,6101109,50769495,de:05334:1107
AVV,1109,"Aachen, Viktoriaallee",05334002,Aachen,Aachen,6107844,50770343,de:05334:1109
AVV,1111,"Aachen, Vogelsang",05334002,Aachen,Aachen,6107049,50757219,de:05334:1111
AVV,1113,"Aachen, Beverau",05334002,Aachen,Aachen,6112409,50758652,de:05334:1113
AVV,1115,"Aachen, Juttastraße",05334002,Aachen,Aachen,6105566,50759549,de:05334:1115
AVV,1117,"Aachen, Wilhelm-Pitz-Weg",05334002,Aachen,Aachen,6100752,50761638,de:05334:1117
