Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt                         ,2713,2668,45,1603,1110,2006,485,75,147,38,10,28,26,18,95,679,618,305,134,97,79,97,107,95,74,56,54,60,28,15,2011,702
13,Theater                       ,2833,2800,33,1620,1213,2021,547,105,160,44,27,24,35,25,86,577,607,321,173,117,86,94,121,101,86,85,78,84,35,27,2197,636
14,Lindenplatz                   ,4281,4218,63,2347,1934,3219,678,181,203,56,45,42,41,31,125,1081,923,431,224,112,117,176,161,130,120,95,101,115,92,63,3230,1051
15,St. Jakob                     ,6473,6400,73,3645,2828,4861,1134,148,330,106,66,74,107,65,245,1535,1432,741,357,237,222,261,266,211,168,138,88,93,45,16,5195,1278
16,Westpark                      ,8332,8216,116,4586,3746,5659,2009,295,369,186,148,173,205,119,288,1638,1463,887,465,377,313,384,350,364,249,185,174,192,115,57,6581,1751
17,Hanbruch                      ,3714,3690,24,1824,1890,1652,1508,259,295,110,109,142,201,142,81,230,241,185,213,203,233,280,300,253,232,155,129,140,89,46,3136,578
18,Hörn                          ,5603,5513,90,2911,2692,3099,1931,321,252,133,127,154,202,118,201,914,636,412,275,222,197,326,324,275,230,216,194,243,127,77,4548,1055
21,Ponttor                       ,12901,12718,183,7810,5091,9982,2181,284,454,235,170,155,166,123,551,3725,2869,1263,631,398,340,449,384,346,289,291,194,196,84,42,8946,3955
22,Hansemannplatz                ,5376,5326,50,3124,2252,3700,1197,175,304,89,60,93,101,61,183,1078,1006,547,284,252,188,246,241,225,205,149,143,144,49,32,3890,1486
23,Soers                         ,2946,2916,30,1461,1485,1374,1251,162,159,90,105,129,125,69,62,211,254,190,198,184,161,191,184,150,151,147,127,137,58,23,2620,326
24,Jülicher Str.                 ,7778,7726,52,4346,3432,5241,1762,267,508,202,177,211,256,138,238,1355,1251,745,511,367,390,411,345,298,228,207,153,154,90,51,5127,2651
25,Kalkofen                      ,2974,2963,11,1506,1468,1600,989,158,227,111,104,144,167,105,92,256,248,235,210,186,187,181,175,143,116,113,74,76,33,18,1922,1052
31,Kaiserplatz                   ,8181,8106,75,4651,3530,5804,1614,230,533,150,101,127,138,83,233,1669,1645,963,493,353,302,355,353,284,258,217,170,171,82,34,5872,2309
32,Adalbertsteinweg              ,10125,10059,66,5828,4297,6850,2152,370,753,236,170,259,290,174,306,1914,1622,956,633,565,440,524,494,415,291,262,193,213,106,62,6934,3191
33,Panneschopp                   ,8349,8311,38,4852,3497,5044,2234,395,676,241,223,272,331,184,271,1146,1033,681,494,508,449,509,512,423,303,284,224,167,68,26,4464,3885
34,Rothe Erde                    ,2628,2625,3,1407,1221,1338,866,171,253,94,79,99,106,71,52,186,208,173,189,194,160,192,205,154,114,105,97,82,43,25,1702,926
35,Trierer Str.                  ,8296,8262,34,4276,4020,4133,2909,485,769,235,254,286,331,206,173,643,774,647,515,497,520,535,567,521,441,363,267,274,159,88,5975,2321
36,Frankenberg                   ,8642,8558,84,4521,4121,5454,2402,216,570,278,209,189,201,162,176,1024,1321,1018,713,480,435,498,516,425,313,227,179,160,82,36,7157,1485
37,Forst                         ,13489,13446,43,6615,6874,5904,5751,861,973,365,463,585,722,433,321,859,841,803,818,844,818,920,988,894,770,618,529,580,214,104,10198,3291
41,Beverau                       ,4226,4163,63,2070,2156,1687,2042,253,244,77,111,177,290,149,96,197,155,133,158,253,317,371,441,349,241,182,158,205,111,55,3967,259
42,Burtsch. Kurgarten            ,5198,5132,66,2733,2465,3335,1325,195,343,132,86,97,155,94,136,787,780,535,350,227,212,299,301,221,212,146,136,164,78,50,4270,928
43,Burtscheider Abtei            ,7531,7339,192,3908,3623,4318,2213,429,571,170,149,158,187,150,180,841,939,713,486,348,338,467,501,440,331,314,302,291,145,81,6328,1203
46,Steinebrück                   ,7252,7150,102,3439,3813,2914,3245,564,529,181,177,229,301,232,154,386,361,377,366,345,353,570,612,509,468,422,417,396,227,169,6633,619
