Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
A001;Akerweg;Vetschau;;Brücke;Bogenartige Brücke / Gewölbebrücke;Einfeld-2-Gelenk-Bogenbrücke;1905;82;Nein
A002;Bocholtzer Straße;Vetschau;;Brücke;Bogenartige Brücke / Gewölbebrücke;Einfeld-2-Gelenk-Bogenbrücke;1903;82;Nein
A003;Burtscheider Straße;Burtscheid;A;Hauptbrücke;Bogenbrücke mit abgehängter Fahrbahn;Zweigelenkbogen mit Zugband;1952;782;Nein
A003;Burtscheider Straße;Burtscheid;B;1.Vorbrücke;Brücke als offener Rahmen;Stahlbeton-Rahmen;1964;147;Nein
A003;Burtscheider Straße;Burtscheid;C;2. Vorbrücke;Gewölbe- bzw. Bogenbrücke;Betongewölbe;1900;167;Nein
A003;Burtscheider Straße;Burtscheid;D;Stützwand Burtscheider Brücke / Reumontstraße;Stützwand als Massivwand;Natursteinmauer;;122;Nein
A003;Burtscheider Straße;Burtscheid;E;Stützwand Burtscheider Brücke/ Seite HBF;Stützwand als Massivwand;Natursteinmauer;;248;Nein
A004;Entenpfuhler Weg III;Preuswald;;Brücke;Brücke mit einer speziellen Rahmenkonstruktionen;2-Feld-Stahlverbund mit integralen Widerlagern;2007;261;Nein
A005;Geusenweg;Vaalserquartier;A;1. Vorbrücke;Gewölbe- bzw. Bogenbrücke;Einfeld-Zeigelstein-Gewölbe;1910;40;Nein
A005;Geusenweg;Vaalserquartier;B;Hauptbrücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlverbund;1910;46;Nein
A005;Geusenweg;Vaalserquartier;C;2. Vorbrücke;Gewölbe- bzw. Bogenbrücke;Einfeld-Zeigelstein-Gewölbe;1910;40;Nein
A006;Hander Weg;Richterich;;Brücke;Bogenartige Brücke / Gewölbebrücke;Einfeld-Stahlbeton-Zweigelenkbogen;1907;100;Nein
A007;Erzberger Allee;Aachen;1;Brücke;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;2019;115;Nein
A007;Erzbergerallee;Aachen;2;Stützwand mit Treppe;Stützwand als Massivwand;Stahlbetonstützwand;2019;;Nein
A008;Wolfsbendenstraße;Eilendorf;;Brücke;Plattenbrücke;3-Feld-Plattenbrücke;1965;347;Nein
A009;Kamper Straße;Aachen;A;Hauptbrücke;Hohlkastenbrücke;Dreifeld-Stahlbeton-Hohlkastenbrücke, 2x 40x50cm;1966;165;Nein
A009;Kamper Straße;Aachen;B;Verbindung Hauptbrücke u. Rampe;Hohlkastenbrücke;Zweifeld-Stahlbeton-Hohlkastenbrücke, 3x DU=35cm;1966;66;Nein
A009;Kamper Straße;Aachen;C;Rampe;Brücke mit balkenartigem oder plattenartigem Tragwerk;Rampe,Seitenwände mit aufgelegten Massivplatten;1966;75;Nein
A011;Halifaxstraße;Aachen;;Brücke;Hohlkastenbrücke;Achtfeld-Spannbeton-Hohlkasten;1971;3800;Nein
A013;An der Schanz;Aachen;A;Brücke;Plattenbrücke;Einfeld-Walzträger in Beton;1950;398;Nein
A013;An der Schanz;Aachen;B;Stützwand;Stützwand als Massivwand;Winkelstützwand;1993;122;Nein
